h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,diff_nb_victories,diff_nb_draws,diff_nb_defeats,diff_nb_points,diff_nb_goals_diff,diff_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id
1.0,1.0,3.0,4.0,5.0,12.0,-7.0,5.0,2.0,1.0,0.0,1.0,3.0,2.0,5.0,-3.0,3.0,1.0,0.0,1.0,1.0,2.5,38.3,1.0,1.0,3.0,4.0,2.0,4.0,-2.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,2.0,0.5,1.5,38.1,0.0,0.0,0.0,0.0,-5.0,0.2,9,38,11468.4145896,25404.0,0,E0_2009_2010_50
1.0,1.0,2.0,4.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,54.0,3.0,0.0,2.0,9.0,13.0,7.0,6.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,4.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,120.3,-2.0,1.0,0.0,-5.0,-6.0,-66.3,9,38,8239.69136728,35303.0,0,E0_2009_2010_51
2.0,0.0,3.0,6.0,2.0,9.0,-7.0,5.0,2.0,2.0,0.0,0.0,6.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,22.4,3.0,0.0,2.0,9.0,8.0,6.0,2.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.5,0.5,54.0,-1.0,0.0,1.0,-3.0,-9.0,-31.6,9,38,7306.97900359,22546.0,1,E0_2009_2010_49
2.0,0.0,2.0,6.0,13.0,8.0,5.0,4.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,110.8,2.0,0.0,3.0,6.0,4.0,8.0,-4.0,5.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,1.5,1.0,39.1,0.0,0.0,-1.0,0.0,9.0,71.7,9,38,9416.23849251,60361.0,1,E0_2009_2010_46
3.0,0.0,1.0,9.0,6.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,80.1,0.0,0.0,5.0,0.0,3.0,10.0,-7.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,-4.0,0.0,0.0,0.0,2.0,0.5,2.5,0.0,3.0,0.0,-4.0,9.0,10.0,80.1,9,38,9818.84154097,42785.0,1,E0_2009_2010_47
1.0,0.0,3.0,3.0,5.0,7.0,-2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,-2.0,0.0,0.0,0.0,2.0,1.0,2.0,45.9,2.0,1.0,2.0,7.0,4.0,6.0,-2.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,-4.0,1.0,0.0,1.0,1.0,0.0,2.0,44.8,-1.0,-1.0,1.0,-4.0,0.0,1.1,9,38,4388.27603271,28100.0,0,E0_2009_2010_48
5.0,0.0,0.0,15.0,12.0,3.0,9.0,5.0,2.0,2.0,0.0,0.0,6.0,5.0,1.0,4.0,6.0,2.0,0.0,0.0,2.5,0.5,174.7,4.0,0.0,1.0,12.0,12.0,7.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,7.0,2.0,5.0,6.0,2.0,0.0,0.0,3.5,1.0,66.6,1.0,0.0,-1.0,3.0,4.0,108.1,9,38,807.440066794,42449.0,1,E0_2009_2010_52
1.0,0.0,3.0,3.0,4.0,10.0,-6.0,4.0,2.0,1.0,0.0,1.0,3.0,3.0,7.0,-4.0,3.0,1.0,0.0,1.0,1.5,3.5,54.5,1.0,1.0,2.0,4.0,4.0,5.0,-1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,47.0,0.0,-1.0,1.0,-1.0,-5.0,7.5,9,38,3505.84645884,40157.0,1,E0_2009_2010_53
4.0,0.0,1.0,12.0,11.0,3.0,8.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,1.0,2.0,6.0,2.0,0.0,0.0,1.5,0.5,131.6,4.0,0.0,0.0,12.0,8.0,2.0,6.0,4.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,3.0,6.0,2.0,0.0,0.0,1.5,0.0,132.5,0.0,0.0,1.0,0.0,2.0,-0.9,9,38,592.867568829,75811.0,1,E0_2009_2010_54
1.0,1.0,3.0,4.0,3.0,7.0,-4.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,-2.0,1.0,0.0,1.0,1.0,0.5,1.5,29.9,2.0,0.0,2.0,6.0,3.0,5.0,-2.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,-1.0,3.0,1.0,0.0,1.0,0.5,1.0,48.5,-1.0,1.0,1.0,-2.0,-2.0,-18.6,9,38,4486.79652258,27828.0,1,E0_2009_2010_55
