h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win_odd_above,id
0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,34,9692.95456899,30079.0,1,E0_2009_2010_12
0.0,0.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.6,8,34,2111.77496751,22546.0,1,E0_2009_2010_13
0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6,8,34,13577.2903217,25404.0,0,E0_2009_2010_14
0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3,1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,8,34,5613.8484919,45276.0,0,E0_2009_2010_15
1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,39.1,1.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,131.6,8,34,2360.0499154,25133.0,0,E0_2009_2010_21
1.0,0.0,1.0,3.0,2.0,3.0,-1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,1.0,1.0,3.0,54.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8,34,7779.49290957,48707.0,1,E0_2009_2010_20
1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.5,1.0,0.0,1.0,3.0,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,29.9,8,34,5701.1309354,47405.0,0,E0_2009_2010_19
1.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,38.1,1.0,0.0,1.0,3.0,2.0,4.0,-2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,1.0,0.0,4.0,44.8,8,34,3583.89574047,30079.0,0,E0_2009_2010_17
1.0,0.0,0.0,3.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.8,0.0,0.0,2.0,0.0,0.0,2.0,-2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8,34,5709.31412774,60361.0,0,E0_2009_2010_16
0.0,0.0,2.0,0.0,2.0,7.0,-5.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,-4.0,0.0,0.0,0.0,1.0,1.0,5.0,38.3,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,8,34,13087.2274628,25404.0,1,E0_2009_2010_18
1.0,0.0,1.0,3.0,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,22.4,0.0,0.0,1.0,0.0,1.0,6.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,8,34,5075.01648345,22546.0,1,E0_2009_2010_22
1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,2.0,0.0,0.0,6.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,174.7,8,34,80.3441436246,25700.0,0,E0_2009_2010_23
1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,6.0,7.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,3.0,5.0,1.0,4.0,3.0,1.0,0.0,0.0,5.0,1.0,66.6,8,34,487.831457697,35303.0,0,E0_2009_2010_24
