h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win_odd_above,id
3.0,1.0,6.0,10.0,8.0,12.0,-4.0,10.0,5.0,2.0,1.0,2.0,7.0,4.0,4.0,0.0,3.0,1.0,0.0,2.0,0.8,0.8,38.1,5.0,3.0,1.0,18.0,18.0,11.0,7.0,9.0,5.0,2.0,2.0,1.0,8.0,8.0,6.0,2.0,2.0,0.0,2.0,1.0,1.6,1.2,132.5,11,44,6659.58934467,30079.0,0,E0_2009_2010_105
1.0,4.0,5.0,7.0,13.0,17.0,-4.0,10.0,4.0,0.0,2.0,2.0,2.0,7.0,9.0,-2.0,2.0,0.0,2.0,1.0,1.75,2.25,54.0,5.0,3.0,2.0,18.0,14.0,9.0,5.0,10.0,5.0,2.0,2.0,1.0,8.0,7.0,5.0,2.0,2.0,0.0,2.0,1.0,1.4,1.0,80.1,11,45,3984.53286436,35303.0,1,E0_2009_2010_106
2.0,4.0,5.0,10.0,11.0,18.0,-7.0,11.0,5.0,1.0,2.0,2.0,5.0,4.0,6.0,-2.0,4.0,1.0,1.0,1.0,0.8,1.2,29.9,7.0,1.0,2.0,22.0,32.0,13.0,19.0,10.0,5.0,2.0,1.0,2.0,7.0,12.0,9.0,3.0,4.0,1.0,1.0,1.0,2.4,1.8,110.8,11,45,4275.84223654,27828.0,0,E0_2009_2010_111
5.0,4.0,1.0,19.0,18.0,11.0,7.0,10.0,4.0,3.0,1.0,0.0,10.0,10.0,5.0,5.0,7.0,2.0,1.0,0.0,2.5,1.25,132.5,5.0,0.0,6.0,15.0,12.0,22.0,-10.0,11.0,5.0,0.0,0.0,5.0,0.0,2.0,17.0,-15.0,0.0,0.0,0.0,3.0,0.4,3.4,22.4,11,45,1959.43232142,47405.0,0,E0_2009_2010_109
6.0,1.0,4.0,19.0,21.0,17.0,4.0,11.0,5.0,3.0,0.0,2.0,9.0,10.0,6.0,4.0,3.0,1.0,0.0,2.0,2.0,1.2,66.6,5.0,2.0,4.0,17.0,20.0,17.0,3.0,11.0,5.0,1.0,1.0,3.0,4.0,5.0,8.0,-3.0,1.0,0.0,1.0,2.0,1.0,1.6,54.0,11,45,18576.9787329,36230.0,0,E0_2009_2010_110
5.0,3.0,3.0,18.0,15.0,11.0,4.0,11.0,5.0,3.0,1.0,1.0,10.0,7.0,4.0,3.0,7.0,2.0,1.0,0.0,1.4,0.8,80.1,3.0,2.0,5.0,11.0,14.0,19.0,-5.0,10.0,4.0,2.0,0.0,2.0,6.0,6.0,6.0,0.0,6.0,2.0,0.0,1.0,1.5,1.5,45.9,11,45,7706.23133984,42785.0,0,E0_2009_2010_107
3.0,1.0,6.0,10.0,11.0,24.0,-13.0,10.0,5.0,3.0,1.0,1.0,10.0,8.0,6.0,2.0,9.0,3.0,0.0,0.0,1.6,1.2,47.0,2.0,1.0,8.0,7.0,9.0,15.0,-6.0,11.0,5.0,1.0,1.0,3.0,4.0,2.0,7.0,-5.0,4.0,1.0,1.0,1.0,0.4,1.4,0.0,11,45,11806.6019155,31154.0,1,E0_2009_2010_108
9.0,0.0,2.0,27.0,28.0,8.0,20.0,11.0,5.0,5.0,0.0,0.0,15.0,15.0,1.0,14.0,9.0,3.0,0.0,0.0,3.0,0.2,174.7,8.0,1.0,2.0,25.0,23.0,11.0,12.0,11.0,5.0,3.0,0.0,2.0,9.0,10.0,4.0,6.0,6.0,2.0,0.0,1.0,2.0,0.8,131.6,11,45,9224.27030883,42449.0,1,E0_2009_2010_112
2.0,2.0,7.0,8.0,8.0,24.0,-16.0,11.0,5.0,2.0,1.0,2.0,7.0,4.0,7.0,-3.0,4.0,1.0,1.0,1.0,0.8,1.4,38.3,4.0,4.0,3.0,16.0,11.0,13.0,-2.0,11.0,5.0,1.0,3.0,1.0,6.0,3.0,6.0,-3.0,5.0,1.0,2.0,0.0,0.6,1.2,44.8,11,45,12200.8666616,25404.0,1,E0_2009_2010_113
2.0,4.0,5.0,10.0,15.0,18.0,-3.0,11.0,5.0,1.0,2.0,2.0,5.0,9.0,10.0,-1.0,5.0,1.0,2.0,0.0,1.8,2.0,54.0,3.0,3.0,4.0,12.0,13.0,16.0,-3.0,10.0,4.0,1.0,0.0,3.0,3.0,4.0,6.0,-2.0,3.0,1.0,0.0,2.0,1.0,1.5,54.5,11,45,8289.53563537,35303.0,0,E0_2009_2010_114
