h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,diff_nb_victories,diff_nb_draws,diff_nb_defeats,diff_nb_points,diff_nb_goals_diff,diff_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id
5.0,6.0,8.0,21.0,15.0,23.0,-8.0,19.0,9.0,4.0,2.0,3.0,14.0,11.0,10.0,1.0,4.0,1.0,1.0,1.0,1.22222222222,1.11111111111,44.8,7.0,6.0,6.0,27.0,24.0,19.0,5.0,19.0,9.0,1.0,4.0,4.0,7.0,9.0,13.0,-4.0,1.0,0.0,1.0,2.0,1.0,1.44444444444,48.5,-2.0,0.0,2.0,-6.0,-13.0,-3.7,1,1,6663.8085929,27740.0,1,E0_2009_2010_196
13.0,2.0,4.0,41.0,51.0,21.0,30.0,19.0,9.0,8.0,0.0,1.0,24.0,28.0,7.0,21.0,9.0,3.0,0.0,0.0,3.11111111111,0.777777777778,110.8,5.0,7.0,7.0,22.0,26.0,32.0,-6.0,19.0,9.0,2.0,2.0,5.0,8.0,12.0,17.0,-5.0,2.0,0.0,2.0,1.0,1.33333333333,1.88888888889,54.5,8.0,-5.0,-3.0,19.0,36.0,56.3,1,1,8491.07085483,60361.0,0,E0_2009_2010_197
9.0,5.0,6.0,32.0,20.0,18.0,2.0,20.0,10.0,5.0,3.0,2.0,18.0,8.0,5.0,3.0,7.0,2.0,1.0,0.0,0.8,0.5,38.1,14.0,1.0,5.0,43.0,45.0,18.0,27.0,20.0,10.0,6.0,0.0,4.0,18.0,21.0,10.0,11.0,6.0,2.0,0.0,1.0,2.1,1.0,131.6,-5.0,4.0,1.0,-11.0,-25.0,-93.5,1,1,6683.90670903,30079.0,0,E0_2009_2010_198
9.0,8.0,2.0,35.0,38.0,27.0,11.0,19.0,9.0,6.0,3.0,0.0,21.0,22.0,13.0,9.0,9.0,3.0,0.0,0.0,2.44444444444,1.44444444444,132.5,5.0,6.0,9.0,21.0,20.0,35.0,-15.0,20.0,10.0,1.0,2.0,7.0,5.0,7.0,24.0,-17.0,2.0,0.0,2.0,1.0,0.7,2.4,47.0,4.0,2.0,-7.0,14.0,26.0,85.5,1,2,2384.24417552,47405.0,1,E0_2009_2010_199
5.0,4.0,11.0,19.0,17.0,36.0,-19.0,20.0,10.0,3.0,2.0,5.0,11.0,9.0,15.0,-6.0,6.0,2.0,0.0,1.0,0.9,1.5,29.9,5.0,4.0,10.0,19.0,21.0,44.0,-23.0,19.0,10.0,2.0,1.0,7.0,7.0,11.0,31.0,-20.0,1.0,0.0,1.0,2.0,1.1,3.1,39.1,0.0,0.0,1.0,0.0,4.0,-9.2,1,2,6783.28990816,27828.0,0,E0_2009_2010_205
11.0,4.0,5.0,37.0,42.0,22.0,20.0,20.0,10.0,7.0,0.0,3.0,21.0,26.0,8.0,18.0,6.0,2.0,0.0,1.0,2.6,0.8,66.6,4.0,6.0,10.0,18.0,20.0,42.0,-22.0,20.0,10.0,0.0,3.0,7.0,3.0,7.0,26.0,-19.0,1.0,0.0,1.0,2.0,0.7,2.6,38.3,7.0,-2.0,-5.0,19.0,42.0,28.3,1,2,13577.2903217,36230.0,0,E0_2009_2010_204
6.0,6.0,8.0,24.0,18.0,25.0,-7.0,20.0,10.0,5.0,2.0,3.0,17.0,14.0,12.0,2.0,4.0,1.0,1.0,1.0,1.4,1.2,44.8,10.0,3.0,7.0,33.0,37.0,25.0,12.0,20.0,10.0,4.0,1.0,5.0,13.0,11.0,14.0,-3.0,4.0,1.0,1.0,1.0,1.1,1.4,120.3,-4.0,3.0,1.0,-9.0,-19.0,-75.5,1,2,5613.8484919,27740.0,0,E0_2009_2010_203
5.0,8.0,7.0,23.0,28.0,34.0,-6.0,20.0,10.0,3.0,5.0,2.0,14.0,14.0,15.0,-1.0,5.0,1.0,2.0,0.0,1.4,1.5,54.5,10.0,8.0,2.0,38.0,42.0,28.0,14.0,20.0,10.0,3.0,5.0,2.0,14.0,16.0,14.0,2.0,4.0,1.0,1.0,1.0,1.6,1.4,132.5,-5.0,0.0,5.0,-15.0,-20.0,-78.0,1,2,4881.04891423,40157.0,1,E0_2009_2010_201
14.0,3.0,3.0,45.0,45.0,16.0,29.0,20.0,10.0,9.0,1.0,0.0,28.0,27.0,6.0,21.0,7.0,2.0,1.0,0.0,2.7,0.6,174.7,6.0,5.0,9.0,23.0,28.0,31.0,-3.0,20.0,10.0,1.0,2.0,7.0,5.0,10.0,18.0,-8.0,1.0,0.0,1.0,2.0,1.0,1.8,54.0,8.0,-2.0,-6.0,22.0,32.0,120.7,1,2,17871.5783766,42449.0,1,E0_2009_2010_200
14.0,2.0,5.0,44.0,46.0,19.0,27.0,21.0,10.0,8.0,1.0,1.0,25.0,24.0,8.0,16.0,6.0,2.0,0.0,1.0,2.4,0.8,131.6,5.0,5.0,10.0,20.0,22.0,40.0,-18.0,20.0,10.0,0.0,1.0,9.0,1.0,8.0,31.0,-23.0,0.0,0.0,0.0,3.0,0.8,3.1,22.4,9.0,-3.0,-5.0,24.0,45.0,109.2,1,2,2111.77496751,75811.0,1,E0_2009_2010_202
