h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,diff_nb_victories,diff_nb_draws,diff_nb_defeats,diff_nb_points,diff_nb_goals_diff,diff_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id
18.0,4.0,6.0,58.0,66.0,31.0,35.0,28.0,14.0,11.0,1.0,2.0,34.0,38.0,14.0,24.0,6.0,2.0,0.0,1.0,2.71428571429,1.0,110.8,6.0,5.0,16.0,23.0,28.0,57.0,-29.0,27.0,14.0,0.0,1.0,13.0,1.0,10.0,43.0,-33.0,0.0,0.0,0.0,3.0,0.714285714286,3.07142857143,22.4,12.0,-1.0,-10.0,35.0,64.0,88.4,3,9,11442.8804149,60361.0,1,E0_2009_2010_273
6.0,9.0,12.0,27.0,35.0,43.0,-8.0,27.0,13.0,5.0,4.0,4.0,19.0,23.0,20.0,3.0,7.0,2.0,1.0,0.0,1.76923076923,1.53846153846,54.0,6.0,8.0,13.0,26.0,30.0,49.0,-19.0,27.0,13.0,2.0,3.0,8.0,9.0,12.0,26.0,-14.0,1.0,0.0,1.0,2.0,0.923076923077,2.0,45.9,0.0,1.0,-1.0,1.0,11.0,8.1,3,9,9469.46267156,35303.0,0,E0_2009_2010_274
6.0,6.0,15.0,24.0,21.0,45.0,-24.0,27.0,14.0,4.0,3.0,7.0,15.0,10.0,19.0,-9.0,4.0,1.0,1.0,1.0,0.714285714286,1.35714285714,29.9,19.0,3.0,6.0,60.0,66.0,24.0,42.0,28.0,14.0,7.0,2.0,5.0,23.0,27.0,16.0,11.0,4.0,1.0,1.0,1.0,1.92857142857,1.14285714286,131.6,-13.0,3.0,9.0,-36.0,-66.0,-101.7,3,9,5633.72467239,27828.0,0,E0_2009_2010_275
10.0,8.0,9.0,38.0,39.0,39.0,0.0,27.0,14.0,7.0,5.0,2.0,26.0,23.0,17.0,6.0,9.0,3.0,0.0,0.0,1.64285714286,1.21428571429,54.5,5.0,9.0,13.0,24.0,25.0,54.0,-29.0,27.0,14.0,0.0,4.0,10.0,4.0,7.0,34.0,-27.0,0.0,0.0,0.0,3.0,0.5,2.42857142857,38.3,5.0,-1.0,-4.0,14.0,29.0,16.2,3,9,15877.7677097,40157.0,1,E0_2009_2010_276
6.0,7.0,14.0,25.0,26.0,53.0,-27.0,27.0,13.0,3.0,5.0,5.0,14.0,11.0,18.0,-7.0,2.0,0.0,2.0,1.0,0.846153846154,1.38461538462,39.1,14.0,6.0,8.0,48.0,45.0,28.0,17.0,28.0,14.0,4.0,4.0,6.0,16.0,12.0,16.0,-4.0,2.0,0.0,2.0,1.0,0.857142857143,1.14285714286,120.3,-8.0,1.0,6.0,-23.0,-44.0,-81.2,3,10,2085.38512959,25133.0,1,E0_2009_2010_277
6.0,9.0,12.0,27.0,32.0,44.0,-12.0,27.0,13.0,5.0,6.0,2.0,21.0,19.0,14.0,5.0,3.0,0.0,3.0,0.0,1.46153846154,1.07692307692,54.0,7.0,8.0,13.0,29.0,32.0,50.0,-18.0,28.0,14.0,3.0,3.0,8.0,12.0,14.0,27.0,-13.0,4.0,1.0,1.0,1.0,1.0,1.92857142857,45.9,-1.0,1.0,-1.0,-2.0,6.0,8.1,3,10,8738.10940022,48707.0,1,E0_2009_2010_279
5.0,4.0,18.0,19.0,23.0,45.0,-22.0,27.0,13.0,3.0,2.0,8.0,11.0,16.0,20.0,-4.0,2.0,0.0,2.0,1.0,1.23076923077,1.53846153846,0.0,11.0,7.0,9.0,40.0,26.0,28.0,-2.0,27.0,13.0,4.0,2.0,7.0,14.0,13.0,20.0,-7.0,0.0,0.0,0.0,3.0,1.0,1.53846153846,38.1,-6.0,-3.0,9.0,-21.0,-20.0,-38.1,3,10,9692.95456899,20224.0,0,E0_2009_2010_278
6.0,5.0,17.0,23.0,29.0,60.0,-31.0,28.0,13.0,6.0,4.0,3.0,22.0,18.0,14.0,4.0,3.0,1.0,0.0,2.0,1.38461538462,1.07692307692,22.4,8.0,10.0,9.0,34.0,27.0,32.0,-5.0,27.0,13.0,2.0,6.0,5.0,12.0,7.0,15.0,-8.0,5.0,1.0,2.0,0.0,0.538461538462,1.15384615385,44.8,-2.0,-5.0,8.0,-11.0,-26.0,-22.4,3,10,5113.36430783,22546.0,0,E0_2009_2010_280
8.0,11.0,9.0,35.0,28.0,33.0,-5.0,28.0,14.0,6.0,4.0,4.0,22.0,20.0,17.0,3.0,4.0,1.0,1.0,1.0,1.42857142857,1.21428571429,44.8,12.0,9.0,5.0,45.0,37.0,21.0,16.0,26.0,12.0,5.0,4.0,3.0,19.0,14.0,11.0,3.0,4.0,1.0,1.0,1.0,1.16666666667,0.916666666667,80.1,-4.0,2.0,4.0,-10.0,-21.0,-35.3,3,10,3368.29326973,27740.0,0,E0_2009_2010_286
14.0,7.0,7.0,49.0,50.0,27.0,23.0,28.0,14.0,9.0,2.0,3.0,29.0,30.0,9.0,21.0,7.0,2.0,1.0,0.0,2.14285714286,0.642857142857,66.6,9.0,7.0,12.0,34.0,30.0,45.0,-15.0,28.0,14.0,1.0,3.0,10.0,6.0,9.0,33.0,-24.0,1.0,0.0,1.0,2.0,0.642857142857,2.35714285714,47.0,5.0,0.0,-5.0,15.0,38.0,19.6,3,10,10919.0340224,36230.0,1,E0_2009_2010_287
