id,BbAvH
E0_2009_2010_213,2.46
E0_2009_2010_212,1.76
E0_2009_2010_214,1.6
E0_2009_2010_215,5.21
E0_2009_2010_216,3.17
E0_2009_2010_217,1.95
E0_2009_2010_218,1.24
E0_2009_2010_219,1.66
E0_2009_2010_224,1.43
E0_2009_2010_226,3.11
E0_2009_2010_223,2.28
E0_2009_2010_225,2.11
E0_2009_2010_221,11.96
E0_2009_2010_220,3.08
E0_2009_2010_222,2.62
E0_2009_2010_227,2.51
E0_2009_2010_228,1.29
E0_2009_2010_229,2.04
E0_2009_2010_230,12.35
E0_2009_2010_231,1.69
E0_2009_2010_239,2.08
E0_2009_2010_238,2.02
E0_2009_2010_237,2.24
E0_2009_2010_236,1.12
E0_2009_2010_234,5.08
E0_2009_2010_233,2.51
E0_2009_2010_232,2.23
E0_2009_2010_235,1.82
E0_2009_2010_240,1.79
E0_2009_2010_241,1.78
E0_2009_2010_242,1.72
E0_2009_2010_243,1.43
E0_2009_2010_244,2.36
E0_2009_2010_245,2.2
E0_2009_2010_251,4.29
E0_2009_2010_250,2.23
E0_2009_2010_249,5.04
E0_2009_2010_247,4.11
E0_2009_2010_246,2.05
E0_2009_2010_248,1.8
E0_2009_2010_252,3.11
E0_2009_2010_253,2.26
E0_2009_2010_254,1.2
E0_2009_2010_255,4.69
E0_2009_2010_256,2.32
E0_2009_2010_257,1.76
E0_2009_2010_258,10.08
E0_2009_2010_263,3.69
E0_2009_2010_262,2.44
E0_2009_2010_260,1.94
E0_2009_2010_259,1.37
E0_2009_2010_261,2.09
E0_2009_2010_264,1.19
E0_2009_2010_269,5.19
E0_2009_2010_265,1.92
E0_2009_2010_266,1.96
E0_2009_2010_267,2.03
E0_2009_2010_268,1.43
E0_2009_2010_271,2.17
E0_2009_2010_272,1.98
E0_2009_2010_270,1.35
E0_2009_2010_273,1.14
E0_2009_2010_274,1.78
E0_2009_2010_275,9.86
E0_2009_2010_276,1.37
E0_2009_2010_277,5.84
E0_2009_2010_278,2.37
E0_2009_2010_279,2.05
E0_2009_2010_280,2.52
E0_2009_2010_287,1.44
E0_2009_2010_286,3.19
E0_2009_2010_285,7.94
E0_2009_2010_283,2.28
E0_2009_2010_282,2.09
E0_2009_2010_281,2.94
E0_2009_2010_284,1.22
E0_2009_2010_288,1.22
E0_2009_2010_289,3.44
E0_2009_2010_290,1.25
E0_2009_2010_291,3.52
E0_2009_2010_297,2.16
E0_2009_2010_298,1.79
E0_2009_2010_296,3.44
E0_2009_2010_294,1.53
E0_2009_2010_293,1.39
E0_2009_2010_292,1.22
E0_2009_2010_295,2.14
E0_2009_2010_299,7.59
E0_2009_2010_300,3.14
E0_2009_2010_301,1.68
E0_2009_2010_302,1.77
E0_2009_2010_306,11.53
E0_2009_2010_305,1.89
E0_2009_2010_304,2.02
E0_2009_2010_303,1.55
E0_2009_2010_307,6.52
E0_2009_2010_308,8.03
E0_2009_2010_309,1.39
E0_2009_2010_310,2.4
E0_2009_2010_311,1.22
E0_2009_2010_312,2.11
E0_2009_2010_313,3.65
E0_2009_2010_315,1.3
E0_2009_2010_314,2.57
E0_2009_2010_316,1.34
E0_2009_2010_318,2.92
E0_2009_2010_322,1.79
E0_2009_2010_323,3.53
E0_2009_2010_321,3.27
E0_2009_2010_317,1.22
E0_2009_2010_319,4.99
E0_2009_2010_320,2.6
E0_2009_2010_324,4.58
E0_2009_2010_325,1.43
E0_2009_2010_326,2.02
E0_2009_2010_327,1.72
E0_2009_2010_328,2.03
E0_2009_2010_332,2.26
E0_2009_2010_331,1.41
E0_2009_2010_330,1.3
E0_2009_2010_329,7.1
E0_2009_2010_333,1.13
E0_2009_2010_334,2.23
E0_2009_2010_335,3.12
E0_2009_2010_336,1.55
E0_2009_2010_343,4.04
E0_2009_2010_341,2.02
E0_2009_2010_340,2.76
E0_2009_2010_342,1.57
E0_2009_2010_338,2.7
E0_2009_2010_337,1.75
E0_2009_2010_339,2.06
E0_2009_2010_344,5.36
E0_2009_2010_345,6.21
E0_2009_2010_346,1.35
E0_2009_2010_347,3.45
E0_2009_2010_353,2.27
E0_2009_2010_352,1.82
E0_2009_2010_351,1.46
E0_2009_2010_349,1.55
E0_2009_2010_348,1.96
E0_2009_2010_350,2.36
E0_2009_2010_354,1.6
E0_2009_2010_355,5.84
E0_2009_2010_356,1.14
E0_2009_2010_357,1.4
E0_2009_2010_361,3.61
E0_2009_2010_358,1.51
E0_2009_2010_359,1.85
E0_2009_2010_360,2.38
E0_2009_2010_362,1.25
E0_2009_2010_364,4.09
E0_2009_2010_363,2.28
E0_2009_2010_365,8.54
E0_2009_2010_367,1.79
E0_2009_2010_366,3.57
E0_2009_2010_368,2.07
E0_2009_2010_369,2.0
E0_2009_2010_378,4.1
E0_2009_2010_377,1.12
E0_2009_2010_376,6.22
E0_2009_2010_375,1.28
E0_2009_2010_379,2.3
E0_2009_2010_373,6.51
E0_2009_2010_372,2.2
