TeamName,WageBillPounds
Arsenal,143
Aston Villa,70
Blackburn,50
Bolton,55
Chelsea,173
Everton,63
Fulham,62
Liverpool,119
Man City,202
Man United,162
Newcastle,64
Norwich,37
QPR,58
Stoke,53
Sunderland,64
Swansea,35
Tottenham,90
West Brom,50
Wigan,38
Wolves,38
