TeamName,WageBillPounds
Man City,260
Man United,296
Chelsea,246
Arsenal,240
Liverpool,264
Tottenham,148
Everton,145
West Ham,107
Stoke,94
Leicester,119
West Brom,92
Southampton,113
Swansea,91
Crystal Palace,117
Watford,86
Bournemouth,102
Burnley,82
Brighton,78
Huddersfield,63
Newcastle,94
