TeamName,WageBillPounds
Man City,264
Man United,263
Chelsea,221
Arsenal,199
Liverpool,208
Tottenham,127
Everton,105
West Ham,95
Stoke,85
Sunderland,84
Leicester,113
West Brom,79
Southampton,112
Swansea,99
Crystal Palace,55
Watford,75
Bournemouth,72
Middlesbrough,65
Burnley,61
Hull,61
