TeamName,WageBillPounds
Arsenal,110
Aston Villa,80
Birmingham,38
Blackburn,47
Bolton,13
Burnley,22.4
Chelsea,174.7
Everton,54.5
Fulham,48.5
Hull,38.3
Liverpool,120.3
Man City,133
Man United,131
Portsmouth,0
Stoke,45
Sunderland,54
Tottenham,66.6
West Ham,54
Wigan,39.1
Wolves,29.9
