TeamName,WageBillPounds
Man City,198
Man United,232
Chelsea,224
Arsenal,195
Liverpool,208
Tottenham,100
Everton,84
West Ham,85
Stoke,82
Sunderland,84
Leicester,80
West Brom,74
Southampton,85
Swansea,82
Crystal Palace,81
Watford,58
Bournemouth,60
Newcastle,75
Norwich,67
Aston Villa,93
