TeamName,WageBillPounds
Arsenal,154
Aston Villa,72
Chelsea,179
Everton,63
Fulham,67
Liverpool,132
Man City,233
Man United,181
Newcastle,62
Norwich,51
QPR,78
Reading,46
Southampton,47
Stoke,60
Sunderland,58
Swansea,49
Tottenham,96
West Brom,54
West Ham,56
Wigan,44
