TeamName,WageBillPounds
Arsenal,192
Aston Villa,84
Burnley,29
Chelsea,217
Crystal Palace,68
Everton,78
Hull,56
Leicester,57
Liverpool,166
Man City,194
Man United,203
Newcastle,65
QPR,73
Southampton,80
Stoke,67
Sunderland,77
Swansea,83
Tottenham,101
West Brom,70
West Ham,73
