TeamName,WageBillPounds
Arsenal,166
Aston Villa,69
Cardiff,53
Chelsea,192
Crystal Palace,90
Everton,69
Fulham,69
Hull,43
Liverpool,144
Man City,205
Man United,215
Newcastle,78
Norwich,54
Southampton,63
Stoke,61
Sunderland,70
Swansea,63
Tottenham,100
West Brom,65
West Ham,64
